strategy,workload,layout,prompt_len_target,files,samples,median_ttft_s,p95_ttft_s,median_total_latency_s,p95_total_latency_s,median_decode_latency_s,median_tokens_per_s,median_rss_mb,max_rss_mb,ttft_speedup_vs_no_cache
default_cache,coding,front_volatile,4096,3,57,4.302194500000041,4.51269136640185,5.602244208996126,5.873525083001004,1.3100586669970653,48.85277401103089,4046.09375,5841.6875,1.0038389129086138
no_cache,coding,stable_prefix,4096,3,57,4.318710250001459,4.680406324799696,5.673348500000429,6.09815612500388,1.327899542004161,48.19641695440803,2431.125,2432.953125,1.0
stable_prefix,coding,stable_prefix,4096,3,57,0.1257237500000201,0.1339831004000018,1.3318327080000074,1.38883706659999,1.204518374999992,53.13326996775821,2431.984375,2432.21875,34.35079092057602
