workload,prompt_len_target,layout,strategy,cache_prompt,cache_reuse,runs,samples,median_ttft_s,p95_ttft_s,median_total_latency_s,median_decode_latency_s,median_tokens_per_s,median_prompt_tokens,median_completion_tokens,peak_server_rss_mb,front_volatile_median_ttft_s,ttft_speedup_vs_front_volatile,reuse0_median_ttft_s,ttft_speedup_vs_reuse0
coding,16384,stable_prefix,stable_prefix,True,0,1,19,0.3250677920004818,0.35427937889944583,2.299276875000942,1.973595583000133,32.42812283898169,20842.0,64.0,3363.359375,,,0.3250677920004818,1.0
coding,16384,stable_prefix,stable_prefix,True,64,1,19,0.3159648330001801,0.34621487910098947,2.0946497499990073,1.8022184589990504,35.511788085638365,20842.0,64.0,3361.96875,,,0.3250677920004818,1.0288100384902537
coding,16384,stable_prefix,stable_prefix,True,128,1,19,0.3200143750000279,0.3435268211000221,2.2814811669995834,1.9485117499989428,32.84558073618736,20842.0,64.0,3363.90625,,,0.3250677920004818,1.015791218755262
coding,16384,stable_prefix,stable_prefix,True,256,1,19,0.3188579170000594,0.3472487874996659,2.279142999999749,1.9555141660002848,32.72796541837513,20842.0,64.0,3361.828125,,,0.3250677920004818,1.0194753671442358
coding,16384,stable_prefix,stable_prefix,True,512,1,19,0.3236529999994673,0.3444726499988974,2.305495167000118,1.9759654170011345,32.38923082830617,20842.0,64.0,3362.046875,,,0.3250677920004818,1.0043713236120686
rag,16384,stable_prefix,stable_prefix,True,0,1,19,0.2631864590002806,0.2832718913990902,0.7090829999997368,0.445336667000447,37.93590350698456,16093.0,17.0,3343.46875,,,0.2631864590002806,1.0
rag,16384,stable_prefix,stable_prefix,True,64,1,19,0.2634409999991476,0.28133584590032107,0.7078189580006438,0.4432084159998339,37.81812273934746,16093.0,17.0,3342.640625,,,0.2631864590002806,0.999033783659841
rag,16384,stable_prefix,stable_prefix,True,128,1,19,0.2651734170012787,0.2835566631008987,0.708006207998551,0.4427243329992052,38.27501676028974,16093.0,17.0,3343.15625,,,0.2631864590002806,0.9925069487602954
rag,16384,stable_prefix,stable_prefix,True,256,1,19,0.2577821670001867,0.2818823541989331,0.690127832998769,0.4092288749998261,41.18629455986182,16093.0,17.0,3342.328125,,,0.2631864590002806,1.0209645688954503
rag,16384,stable_prefix,stable_prefix,True,512,1,19,0.2639782080004806,0.2835483291992204,0.7058104170009756,0.4433353340009489,37.545219849183,16093.0,17.0,3343.203125,,,0.2631864590002806,0.9970007031785041
